Segment Type,"Data_Partner_KVP__
_lp_no_special_characters_-_case_sensitive_rp_","Data Partner Segment Name 
(Tier 1)","Data Partner Segment Name 
(Tier 2)","Data Partner Segment Name 
(Tier 3)","Data Partner Segment Name
(Tier 4)",Brand Safety,Date Added, Segment Status,NOTES,DSP Example Output,version (temporary)
IAB-Category,sr_diseasesandconditions,Medical Health,Diseases and Conditions,,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions,v1
IAB-Category,sr_diving,Sports,Diving,,,N/A,10/3/24,New,,Sports | Diving,v1
IAB-Category,sr_divorce,Family and Relationships,Divorce,,,N/A,10/3/24,New,,Family and Relationships | Divorce,v1
IAB-Category,sr_documentary,Genres,Documentary,,,N/A,10/3/24,New,,Genres | Documentary,v1
IAB-Category,sr_dogs,Pets,Dogs,,,N/A,10/3/24,New,,Pets | Dogs,v1
IAB-Category,sr_drama,Genres,Drama,,,N/A,10/3/24,New,,Genres | Drama,v1
IAB-Category,sr_drawingandsketching,Hobbies & Interests,Arts and Crafts,Drawing and Sketching,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Drawing and Sketching,v1
IAB-Category,sr_driverlesscars,Automotive,Auto Type,Driverless Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Driverless Cars,v1
IAB-Category,"sr_ear,noseandthroatconditions",Medical Health,Diseases and Conditions,"Ear, Nose and Throat Conditions",,N/A,10/3/24,New,,"Medical Health | Diseases and Conditions | Ear, Nose and Throat Conditions",v1
IAB-Category,sr_earlychildhoodeducation,Education,Early Childhood Education,,,N/A,10/3/24,New,,Education | Early Childhood Education,v1
IAB-Category,sr_economy,Business and Finance,Economy,,,N/A,10/3/24,New,,Business and Finance | Economy,v1
IAB-Category,sr_education,Education,,,,N/A,10/3/24,New,,Education,v1
IAB-Category,sr_educationalassessment,Education,Educational Assessment,,,N/A,10/3/24,New,,Education | Educational Assessment,v1
IAB-Category,sr_educationalvideogames,Video Gaming,Video Game Genres,Educational Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Educational Video Games,v1
IAB-Category,sr_educationindustry,Business and Finance,Industries,Education industry,,N/A,10/3/24,New,,Business and Finance | Industries | Education industry,v1
IAB-Category,sr_eldercare,Family and Relationships,Eldercare,,,N/A,10/3/24,New,,Family and Relationships | Eldercare,v1
IAB-Category,sr_elections,Politics,Elections,,,N/A,10/3/24,New,,Politics | Elections,v1
IAB-Category,sr_email,Technology & Computing,Computing,Internet,Email,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Email,v1
IAB-Category,sr_endocrineandmetabolicdiseases,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Endocrine and Metabolic Diseases,v1
IAB-Category,sr_entertainment,Entertainment,,,,N/A,10/3/24,New,,Entertainment,v1
IAB-Category,sr_entertainmentindustry,Business and Finance,Industries,Entertainment Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Entertainment Industry,v1
IAB-Category,sr_environment,Science,Environment,,,N/A,10/3/24,New,,Science | Environment,v1
IAB-Category,sr_environmentalservicesindustry,Business and Finance,Industries,Environmental Services Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Environmental Services Industry,v1
IAB-Category,sr_equinesports,Sports,Equine Sports,,,N/A,10/3/24,New,,Sports | Equine Sports,v1
IAB-Category,sr_esports,Video Gaming,eSports,,,N/A,10/3/24,New,,Video Gaming | eSports,v1
IAB-Category,sr_europetravel,Travel,Travel Locations,Europe Travel,,N/A,10/3/24,New,,Travel | Travel Locations | Europe Travel,v1
IAB-Category,sr_events,Events,,,,N/A,10/3/24,New,,Events,v1
IAB-Category,sr_executiveleadership_and_management,Business and Finance,Business,Executive Leadership & Management,,N/A,10/3/24,updated,,Business and Finance | Business | Executive Leadership & Management,v1
IAB-Category,sr_exerciseandfitnessvideogames,Video Gaming,Video Game Genres,Exercise and Fitness Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Exercise and Fitness Video Games,v1
IAB-Category,sr_extremesports,Sports,Extreme Sports,,,N/A,10/3/24,New,,Sports | Extreme Sports,v1
IAB-Category,sr_eyeandvisionconditions,Medical Health,Diseases and Conditions,Eye and Vision Conditions,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Eye and Vision Conditions,v1
IAB-Category,sr_factual,Genres,Factual,,,N/A,10/3/24,New,,Genres | Factual,v1
IAB-Category,sr_family_children,Genres,Family/Children,,,N/A,10/3/24,New,,Genres | Family/Children,v1
IAB-Category,sr_familyandrelationships,Family and Relationships,,,,N/A,10/3/24,New,,Family and Relationships,v1
IAB-Category,sr_familytravel,Travel,Travel Type,Family Travel,,N/A,10/3/24,New,,Travel | Travel Type | Family Travel,v1
IAB-Category,sr_familyvideogames,Video Gaming,Video Game Genres,Family Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Family Video Games,v1
IAB-Category,sr_fanconventions,Events,Fan Conventions,,,N/A,10/3/24,New,,Events | Fan Conventions,v1
IAB-Category,sr_fantasy,Genres,Fantasy,,,N/A,10/3/24,New,,Genres | Fantasy,v1
IAB-Category,sr_fantasysports,Sports,Fantasy Sports,,,N/A,10/3/24,New,,Sports | Fantasy Sports,v1
IAB-Category,sr_fashiontrends,Style & Fashion,Fashion Trends,,,N/A,10/3/24,New,,Style & Fashion | Fashion Trends,v1
IAB-Category,sr_fiction,Books and Literature,Fiction,,,N/A,10/3/24,New,,Books and Literature | Fiction,v1
IAB-Category,sr_fieldhockey,Sports,Field Hockey,,,N/A,10/3/24,New,,Sports | Field Hockey,v1
IAB-Category,sr_figureskating,Sports,Figure Skating,,,N/A,10/3/24,New,,Sports | Figure Skating,v1
IAB-Category,sr_financialassistance,Personal Finance,Financial Assistance,,,N/A,10/3/24,New,,Personal Finance | Financial Assistance,v1
IAB-Category,sr_financialcrisis,Business and Finance,Economy,Financial Crisis,,N/A,10/3/24,New,,Business and Finance | Economy | Financial Crisis,v1
IAB-Category,sr_financialindustry,Business and Finance,Industries,Financial Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Financial Industry,v1
IAB-Category,sr_financialplanning,Personal Finance,Financial Planning,,,N/A,10/3/24,New,,Personal Finance | Financial Planning,v1
IAB-Category,sr_financialreform,Business and Finance,Economy,Financial Reform,,N/A,10/3/24,New,,Business and Finance | Economy | Financial Reform,v1
IAB-Category,sr_financialregulation,Business and Finance,Economy,Financial Regulation,,N/A,10/3/24,New,,Business and Finance | Economy | Financial Regulation,v1
IAB-Category,sr_fineart,Fine Art,,,,N/A,10/3/24,New,,Fine Art,v1
IAB-Category,sr_fineartphotography,Fine Art,Fine Art Photography,,,N/A,10/3/24,New,,Fine Art | Fine Art Photography,v1
IAB-Category,sr_firstaid,Medical Health,Diseases and Conditions,Injuries,First Aid,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Injuries | First Aid,v1
IAB-Category,sr_fishandaquariums,Pets,Fish and Aquariums,,,N/A,10/3/24,New,,Pets | Fish and Aquariums,v1
IAB-Category,sr_fishingsports,Sports,Fishing Sports,,,N/A,10/3/24,New,,Sports | Fishing Sports,v1
IAB-Category,sr_fitnessandexercise,Healthy Living,Fitness and Exercise,,,N/A,10/3/24,New,,Healthy Living | Fitness and Exercise,v1
IAB-Category,sr_flowershopping,Shopping,Flower Shopping,,,N/A,10/3/24,New,,Shopping | Flower Shopping,v1
IAB-Category,sr_food_and_drink,Food & Drink,,,,N/A,10/3/24,New,,Food & Drink,v1
IAB-Category,sr_foodallergies,Food & Drink,Food Allergies,,,N/A,10/3/24,New,,Food & Drink | Food Allergies,v1
IAB-Category,sr_foodindustry,Business and Finance,Industries,Food Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Food Industry,v1
IAB-Category,sr_foodmovements,Food & Drink,Food Movements,,,N/A,10/3/24,New,,Food & Drink | Food Movements,v1
IAB-Category,sr_foothealth,Medical Health,Diseases and Conditions,Foot Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Foot Health,v1
IAB-Category,sr_freelancewriting,Hobbies & Interests,Content Production,Freelance Writing,,N/A,10/3/24,New,,Hobbies & Interests | Content Production | Freelance Writing,v1
IAB-Category,sr_frugalliving,Personal Finance,Frugal Living,,,N/A,10/3/24,New,,Personal Finance | Frugal Living,v1
IAB-Category,sr_funeral,Personal Celebrations & Life Events,Funeral,,,N/A,10/3/24,New,,Personal Celebrations & Life Events | Funeral,v1
IAB-Category,sr_gamesandpuzzles,Hobbies & Interests,Games and Puzzles,,,N/A,10/3/24,New,,Hobbies & Interests | Games and Puzzles,v1
IAB-Category,sr_gardening,Home & Garden,Gardening,,,N/A,10/3/24,New,,Home & Garden | Gardening,v1
IAB-Category,sr_gasandelectric,Personal Finance,Home Utilities,Gas and Electric,,N/A,10/3/24,New,,Personal Finance | Home Utilities | Gas and Electric,v1
IAB-Category,sr_gasolineprices,Business and Finance,Economy,Gasoline Prices,,N/A,10/3/24,New,,Business and Finance | Economy | Gasoline Prices,v1
IAB-Category,sr_genealogyandancestry,Hobbies & Interests,Genealogy and Ancestry,,,N/A,10/3/24,New,,Hobbies & Interests | Genealogy and Ancestry,v1
IAB-Category,sr_genetics,Science,Genetics,,,N/A,10/3/24,New,,Science | Genetics,v1
IAB-Category,sr_genres,Genres,,,,N/A,10/3/24,New,,Genres,v1
IAB-Category,sr_geography,Science,Geography,,,N/A,10/3/24,New,,Science | Geography,v1
IAB-Category,sr_geology,Science,Geology,,,N/A,10/3/24,New,,Science | Geology,v1
IAB-Category,sr_giftsandgreetingscards,Shopping,Gifts and Greetings Cards,,,N/A,10/3/24,New,,Shopping | Gifts and Greetings Cards,v1
IAB-Category,sr_golf,Sports,Golf,,,N/A,10/3/24,New,,Sports | Golf,v1
IAB-Category,sr_gospelmusic,Music,Gospel Music,,,N/A,10/3/24,New,,Music | Gospel Music,v1
IAB-Category,sr_governmentbusiness,Business and Finance,Business,Government Business,,N/A,10/3/24,New,,Business and Finance | Business | Government Business,v1
IAB-Category,sr_governmentsupportandwelfare,Personal Finance,Financial Assistance,Government Support and Welfare,,N/A,10/3/24,New,,Personal Finance | Financial Assistance | Government Support and Welfare,v1
IAB-Category,sr_graduation,Personal Celebrations & Life Events,Graduation,,,N/A,10/3/24,New,,Personal Celebrations & Life Events | Graduation,v1
IAB-Category,sr_graphicssoftware,Technology & Computing,Computing,Computer Software and Applications,Graphics Software,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Graphics Software,v1
IAB-Category,sr_greensolutions,Business and Finance,Business,Green Solutions,,N/A,10/3/24,New,,Business and Finance | Business | Green Solutions,v1
IAB-Category,sr_greenvehicles,Automotive,Auto Type,Green Vehicles,,N/A,10/3/24,New,,Automotive | Auto Type | Green Vehicles,v1
IAB-Category,sr_groceryshopping,Shopping,Grocery Shopping,,,N/A,10/3/24,New,,Shopping | Grocery Shopping,v1
IAB-Category,sr_gymnastics,Sports,Gymnastics,,,N/A,10/3/24,New,,Sports | Gymnastics,v1
IAB-Category,sr_haircare,Style & Fashion,Beauty,Hair Care,,N/A,10/3/24,New,,Style & Fashion | Beauty | Hair Care,v1
IAB-Category,sr_hardrock,Music,Rock Music,Hard Rock,,N/A,10/3/24,New,,Music | Rock Music | Hard Rock,v1
IAB-Category,sr_hatchback,Automotive,Auto Body Styles,Hatchback,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Hatchback,v1
IAB-Category,sr_hatespeechandactsofaggression,Sensitive Topics,Hate Speech and Acts of Aggression,,,N/A,10/3/24,New,,Sensitive Topics | Hate Speech and Acts of Aggression,v1
IAB-Category,sr_healthcareindustry,Business and Finance,Industries,Healthcare Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Healthcare Industry,v1
IAB-Category,sr_healthinsurance,Personal Finance,Insurance,Health Insurance,,N/A,10/3/24,New,,Personal Finance | Insurance | Health Insurance,v1
IAB-Category,sr_healthycookingandeating,Food & Drink,Healthy Cooking and Eating,,,N/A,10/3/24,New,,Food & Drink | Healthy Cooking and Eating,v1
IAB-Category,sr_healthyliving,Healthy Living,,,,N/A,10/3/24,New,,Healthy Living,v1
IAB-Category,sr_heartandcardiovasculardiseases,Medical Health,Diseases and Conditions,Heart and Cardiovascular Diseases,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Heart and Cardiovascular Diseases,v1
IAB-Category,sr_hedgefunds,Personal Finance,Personal Investing,Hedge Funds,,N/A,10/3/24,New,,Personal Finance | Personal Investing | Hedge Funds,v1
IAB-Category,sr_herbsandsupplements,Healthy Living,Wellness,Alternative Medicine,Herbs and Supplements,N/A,10/3/24,New,,Healthy Living | Wellness | Alternative Medicine | Herbs and Supplements,v1
IAB-Category,sr_highfashion,Style & Fashion,High Fashion,,,N/A,10/3/24,New,,Style & Fashion | High Fashion,v1
IAB-Category,sr_hinduism,Religion & Spirituality,Hinduism,,,N/A,10/3/24,New,,Religion & Spirituality | Hinduism,v1
IAB-Category,sr_hiphopmusic,Music,Hip Hop Music,,,N/A,10/3/24,New,,Music | Hip Hop Music,v1
IAB-Category,sr_historicsiteandlandmarktours,Attractions,Historic Site and Landmark Tours,,,N/A,10/3/24,New,,Attractions | Historic Site and Landmark Tours,v1
IAB-Category,sr_history,Genres,History,,,N/A,10/3/24,New,,Genres | History,v1
IAB-Category,sr_hobbies_and_interests,Hobbies & Interests,,,,N/A,10/3/24,New,,Hobbies & Interests,v1
IAB-Category,sr_holiday,Genres,Holiday,,,N/A,10/3/24,New,,Genres | Holiday,v1
IAB-Category,sr_holidays,Holidays,,,,N/A,10/3/24,New,,Holidays,v1
IAB-Category,sr_holidayshopping,Shopping,Holiday Shopping,,,N/A,10/3/24,New,,Shopping | Holiday Shopping,v1
IAB-Category,sr_holistichealth,Healthy Living,Wellness,Alternative Medicine,Holistic Health,N/A,10/3/24,New,,Healthy Living | Wellness | Alternative Medicine | Holistic Health,v1
IAB-Category,sr_home_and_garden,Home & Garden,,,,N/A,10/3/24,New,,Home & Garden,v1
IAB-Category,sr_homeappliances,Home & Garden,Home Appliances,,,N/A,10/3/24,New,,Home & Garden | Home Appliances,v1
IAB-Category,sr_homeentertaining,Home & Garden,Home Entertaining,,,N/A,10/3/24,New,,Home & Garden | Home Entertaining,v1
IAB-Category,sr_homeentertainmentsystems,Technology & Computing,Consumer Electronics,Home Entertainment Systems,,N/A,10/3/24,New,,Technology & Computing | Consumer Electronics | Home Entertainment Systems,v1
IAB-Category,sr_homefinancing,Personal Finance,Personal Debt,Home Financing,,N/A,10/3/24,New,,Personal Finance | Personal Debt | Home Financing,v1
IAB-Category,sr_homeimprovement,Home & Garden,Home Improvement,,,N/A,10/3/24,New,,Home & Garden | Home Improvement,v1
IAB-Category,sr_homeinsurance,Personal Finance,Insurance,Home Insurance,,N/A,10/3/24,New,,Personal Finance | Insurance | Home Insurance,v1
IAB-Category,sr_homeschooling,Education,Homeschooling,,,N/A,10/3/24,New,,Education | Homeschooling,v1
IAB-Category,sr_homesecurity,Home & Garden,Home Security,,,N/A,10/3/24,New,,Home & Garden | Home Security,v1
IAB-Category,sr_homeutilities,Personal Finance,Home Utilities,,,N/A,10/3/24,New,,Personal Finance | Home Utilities,v1
IAB-Category,sr_homeworkandstudy,Education,Homework and Study,,,N/A,10/3/24,New,,Education | Homework and Study,v1
IAB-Category,sr_honeymoonsandgetaways,Travel,Travel Type,Honeymoons and Getaways,,N/A,10/3/24,New,,Travel | Travel Type | Honeymoons and Getaways,v1
IAB-Category,sr_hormonaldisorders,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,Hormonal Disorders,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Endocrine and Metabolic Diseases | Hormonal Disorders,v1
IAB-Category,sr_horror,Genres,Horror,,,N/A,10/3/24,New,,Genres | Horror,v1
IAB-Category,sr_horrorvideogames,Video Gaming,Video Game Genres,Horror Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Horror Video Games,v1
IAB-Category,sr_horseracing,Sports,Equine Sports,Horse Racing,,N/A,10/3/24,New,,Sports | Equine Sports | Horse Racing,v1
IAB-Category,sr_hospitalityindustry,Business and Finance,Industries,Hospitality Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Hospitality Industry,v1
IAB-Category,sr_hotelproperties,Real Estate,Hotel Properties,,,N/A,10/3/24,New,,Real Estate | Hotel Properties,v1
IAB-Category,sr_hotelsandmotels,Travel,Travel Type,Hotels and Motels,,N/A,10/3/24,New,,Travel | Travel Type | Hotels and Motels,v1
IAB-Category,sr_householdsupplies,Shopping,Household Supplies,,,N/A,10/3/24,New,,Shopping | Household Supplies,v1
IAB-Category,sr_houses,Real Estate,Houses,,,N/A,10/3/24,New,,Real Estate | Houses,v1
IAB-Category,sr_housingmarket,Business and Finance,Economy,Housing Market,,N/A,10/3/24,New,,Business and Finance | Economy | Housing Market,v1
IAB-Category,sr_humanresources,Business and Finance,Business,Human Resources,,N/A,10/3/24,New,,Business and Finance | Business | Human Resources,v1
IAB-Category,sr_humorandsatire,Pop Culture,Humor and Satire,,,N/A,10/3/24,New,,Pop Culture | Humor and Satire,v1
IAB-Category,sr_huntingandshooting,Sports,Hunting and Shooting,,,N/A,10/3/24,New,,Sports | Hunting and Shooting,v1
IAB-Category,sr_icehockey,Sports,Ice Hockey,,,N/A,10/3/24,New,,Sports | Ice Hockey,v1
IAB-Category,sr_illegaldrugs_tobacco_ecigarettes_vaping_alcohol,Sensitive Topics,"Illegal Drugs, Tobacco, eCigarettes, Vaping, Alcohol",,,N/A,10/3/24,PENDING,"Removed Comma, APPROVED - Collin Stoffel 10/2/2024","Sensitive Topics | Illegal Drugs, Tobacco, eCigarettes, Vaping, Alcohol",v1
IAB-Category,sr_indoorenvironmentalquality,Home & Garden,Indoor Environmental Quality,,,N/A,10/3/24,New,,Home & Garden | Indoor Environmental Quality,v1
IAB-Category,sr_industrialproperty,Real Estate,Industrial Property,,,N/A,10/3/24,New,,Real Estate | Industrial Property,v1
IAB-Category,sr_industries,Business and Finance,Industries,,,N/A,10/3/24,New,,Business and Finance | Industries,v1
IAB-Category,sr_infectiousdiseases,Medical Health,Diseases and Conditions,Infectious Diseases,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Infectious Diseases,v1
IAB-Category,sr_infertility,Medical Health,Diseases and Conditions,Reproductive Health,Infertility,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Reproductive Health | Infertility,v1
IAB-Category,sr_informationandnetworksecurity,Technology & Computing,Computing,Information and Network Security,,N/A,10/3/24,New,,Technology & Computing | Computing | Information and Network Security,v1
IAB-Category,sr_informationservicesindustry,Business and Finance,Industries,Information Services Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Information Services Industry,v1
IAB-Category,sr_injuries,Medical Health,Diseases and Conditions,Injuries,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Injuries,v1
IAB-Category,sr_inlineskating,Sports,Inline Skating,,,N/A,10/3/24,New,,Sports | Inline Skating,v1
IAB-Category,sr_inspirational_newagemusic,Music,Inspirational/New Age Music,,,N/A,10/3/24,New,,Music | Inspirational/New Age Music,v1
IAB-Category,sr_insurance,Personal Finance,Insurance,,,N/A,10/3/24,New,,Personal Finance | Insurance,v1
IAB-Category,sr_interestrates,Business and Finance,Economy,Interest Rates,,N/A,10/3/24,New,,Business and Finance | Economy | Interest Rates,v1
IAB-Category,sr_interiordecorating,Home & Garden,Interior Decorating,,,N/A,10/3/24,New,,Home & Garden | Interior Decorating,v1
IAB-Category,sr_internet,Technology & Computing,Computing,Internet,,N/A,10/3/24,New,,Technology & Computing | Computing | Internet,v1
IAB-Category,sr_internetforbeginners,Technology & Computing,Computing,Internet,Internet for Beginners,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Internet for Beginners,v1
IAB-Category,sr_internetofthings,Technology & Computing,Computing,Internet,Internet of Things,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Internet of Things,v1
IAB-Category,sr_internetsafety,Family and Relationships,Parenting,Internet Safety,,N/A,10/3/24,New,,Family and Relationships | Parenting | Internet Safety,v1
IAB-Category,sr_internetserviceproviders,Personal Finance,Home Utilities,Internet Service Providers,,N/A,10/3/24,New,,Personal Finance | Home Utilities | Internet Service Providers,v1
IAB-Category,sr_islam,Religion & Spirituality,Islam,,,N/A,10/3/24,New,,Religion & Spirituality | Islam,v1
IAB-Category,sr_itandinternetsupport,Technology & Computing,Computing,Internet,IT and Internet Support,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | IT and Internet Support,v1
IAB-Category,sr_jazz,Music,Jazz,,,N/A,10/3/24,New,,Music | Jazz,v1
IAB-Category,sr_jewelrymaking,Hobbies & Interests,Arts and Crafts,Jewelry Making,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Jewelry Making,v1
IAB-Category,sr_jobfairs,Careers,Job Search,Job Fairs,,N/A,10/3/24,New,,Careers | Job Search | Job Fairs,v1
IAB-Category,sr_jobmarket,Business and Finance,Economy,Job Market,,N/A,10/3/24,New,,Business and Finance | Economy | Job Market,v1
IAB-Category,sr_jobsearch,Careers,Job Search,,,N/A,10/3/24,New,,Careers | Job Search,v1
IAB-Category,sr_judaism,Religion & Spirituality,Judaism,,,N/A,10/3/24,New,,Religion & Spirituality | Judaism,v1
IAB-Category,sr_lacrosse,Sports,Lacrosse,,,N/A,10/3/24,New,,Sports | Lacrosse,v1
IAB-Category,sr_landandfarms,Real Estate,Land and Farms,,,N/A,10/3/24,New,,Real Estate | Land and Farms,v1
IAB-Category,sr_landscaping,Home & Garden,Landscaping,,,N/A,10/3/24,New,,Home & Garden | Landscaping,v1
IAB-Category,sr_languagelearning,Education,Language Learning,,,N/A,10/3/24,New,,Education | Language Learning,v1
IAB-Category,sr_laptops,Technology & Computing,Computing,Laptops,,N/A,10/3/24,New,,Technology & Computing | Computing | Laptops,v1
IAB-Category,sr_largeanimals,Pets,Large Animals,,,N/A,10/3/24,New,,Pets | Large Animals,v1
IAB-Category,sr_largebusiness,Business and Finance,Business,Large Business,,N/A,10/3/24,New,,Business and Finance | Business | Large Business,v1
IAB-Category,sr_law,Law,,,,N/A,10/3/24,New,,Law,v1
IAB-Category,sr_legalservicesindustry,Business and Finance,Industries,Legal Services Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Legal Services Industry,v1
IAB-Category,sr_lifeinsurance,Personal Finance,Insurance,Life Insurance,,N/A,10/3/24,New,,Personal Finance | Insurance | Life Insurance,v1
IAB-Category,sr_lifestyle,Genres,Lifestyle,,,N/A,10/3/24,New,,Genres | Lifestyle,v1
IAB-Category,sr_logistics,Business and Finance,Business,Logistics,,N/A,10/3/24,New,,Business and Finance | Business | Logistics,v1
IAB-Category,sr_logisticsandtransportationindustry,Business and Finance,Industries,Logistics and Transportation Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Logistics and Transportation Industry,v1
IAB-Category,sr_lotteriesandscratchcards,Shopping,Lotteries and Scratchcards,,,N/A,10/3/24,New,,Shopping | Lotteries and Scratchcards,v1
IAB-Category,sr_lungandrespiratoryhealth,Medical Health,Diseases and Conditions,Lung and Respiratory Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Lung and Respiratory Health,v1
IAB-Category,sr_luxurycars,Automotive,Auto Type,Luxury Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Luxury Cars,v1
IAB-Category,sr_magicandillusion,Hobbies & Interests,Magic and Illusion,,,N/A,10/3/24,New,,Hobbies & Interests | Magic and Illusion,v1
IAB-Category,sr_makeupandaccessories,Style & Fashion,Beauty,Makeup and Accessories,,N/A,10/3/24,New,,Style & Fashion | Beauty | Makeup and Accessories,v1
IAB-Category,sr_malls_and_shoppingcenters,Attractions,Malls & Shopping Centers,,,N/A,10/3/24,updated,,Attractions | Malls & Shopping Centers,v1
IAB-Category,sr_managementconsultingindustry,Business and Finance,Industries,Management Consulting Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Management Consulting Industry,v1
IAB-Category,sr_manufacturingindustry,Business and Finance,Industries,Manufacturing Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Manufacturing Industry,v1
IAB-Category,sr_maps_and_navigation,Maps & Navigation,,,,N/A,10/3/24,updated,,Maps & Navigation,v1
IAB-Category,sr_marketingandadvertising,Business and Finance,Business,Marketing and Advertising,,N/A,10/3/24,New,,Business and Finance | Business | Marketing and Advertising,v1
IAB-Category,sr_marriageandcivilunions,Family and Relationships,Marriage and Civil Unions,,,N/A,10/3/24,New,,Family and Relationships | Marriage and Civil Unions,v1
IAB-Category,sr_martialarts,Sports,Martial Arts,,,N/A,10/3/24,New,,Sports | Martial Arts,v1
IAB-Category,sr_mechanicalandindustrialengineeringindustry,Business and Finance,Industries,Mechanical and Industrial Engineering Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Mechanical and Industrial Engineering Industry,v1
IAB-Category,sr_mediaindustry,Business and Finance,Industries,Media Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Media Industry,v1
IAB-Category,sr_medicalhealth,Medical Health,,,,N/A,10/3/24,New,,Medical Health,v1
IAB-Category,sr_medicaltests,Medical Health,Medical Tests,,,N/A,10/3/24,New,,Medical Health | Medical Tests,v1
IAB-Category,sr_menopause,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,Menopause,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Endocrine and Metabolic Diseases | Menopause,v1
IAB-Category,sr_mensaccessories,Style & Fashion,Men's Fashion,Men's Accessories,,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Accessories,v1
IAB-Category,sr_mensbusinesswear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Business Wear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Business Wear,v1
IAB-Category,sr_menscasualwear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Casual Wear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Casual Wear,v1
IAB-Category,sr_mensclothing,Style & Fashion,Men's Fashion,Men's Clothing,,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing,v1
IAB-Category,sr_mensfashion,Style & Fashion,Men's Fashion,,,N/A,10/3/24,New,,Style & Fashion | Men's Fashion,v1
IAB-Category,sr_mensformalwear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Formal Wear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Formal Wear,v1
IAB-Category,sr_menshealth,Healthy Living,Men's Health,,,N/A,10/3/24,New,,Healthy Living | Men's Health,v1
IAB-Category,sr_mensjewelryandwatches,Style & Fashion,Men's Fashion,Men's Accessories,Men's Jewelry and Watches,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Accessories | Men's Jewelry and Watches,v1
IAB-Category,sr_mensouterwear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Outerwear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Outerwear,v1
IAB-Category,sr_mensshoesandfootwear,Style & Fashion,Men's Fashion,Men's Shoes and Footwear,,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Shoes and Footwear,v1
IAB-Category,sr_menssportswear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Sportswear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Sportswear,v1
IAB-Category,sr_mensunderwearandsleepwear,Style & Fashion,Men's Fashion,Men's Clothing,Men's Underwear and Sleepwear,N/A,10/3/24,New,,Style & Fashion | Men's Fashion | Men's Clothing | Men's Underwear and Sleepwear,v1
